site_id;entity_id;entity_name;publication_doi;depth_ref;cover_thickness;distance_entrance;speleothem_type;drip_type;d13C;d18O;d18O_water_equilibrium;trace_elements;organics;fluid_inclusions;mineralogy_petrology_fabric;clumped_isotopes;noble_gas_temperatures;C14;ODL;Mg_Ca;contact;data_DOI_URL;site_id;site_name;latitude;longitude;elevation;geology;rock_age;monitoring;interp_age
1;1;BT-1;10.1038/srep24374;from top;30;32.4;stalagmite;unknown;yes;yes;unknown;yes;no;no;yes;no;no;no;no;no;Hai Cheng;https://www.ncdc.noaa.gov/paleo/study/20449;1;Bittoo cave;30.7903;77.7764;3000;limestone;Pleistocene;yes;12209.1918
1;2;BT-2.1;10.1038/srep24374;from top;30;32.4;stalagmite;unknown;yes;yes;unknown;yes;no;no;yes;no;no;no;no;no;Hai Cheng;https://www.ncdc.noaa.gov/paleo/study/20449;1;Bittoo cave;30.7903;77.7764;3000;limestone;Pleistocene;yes;24957
1;3;BT-2.2;10.1038/srep24374;from top;30;32.4;stalagmite;unknown;yes;yes;unknown;yes;no;no;yes;no;no;no;no;no;Hai Cheng;https://www.ncdc.noaa.gov/paleo/study/20449;1;Bittoo cave;30.7903;77.7764;3000;limestone;Pleistocene;yes;43675
1;4;BT-2.3;10.1038/srep24374;from top;30;32.4;stalagmite;unknown;yes;yes;unknown;yes;no;no;yes;no;no;no;no;no;Hai Cheng;https://www.ncdc.noaa.gov/paleo/study/20449;1;Bittoo cave;30.7903;77.7764;3000;limestone;Pleistocene;yes;58310
1;5;BT-2.4;10.1038/srep24374;from top;30;32.4;stalagmite;unknown;yes;yes;unknown;yes;no;no;yes;no;no;no;no;no;Hai Cheng;https://www.ncdc.noaa.gov/paleo/study/20449;1;Bittoo cave;30.7903;77.7764;3000;limestone;Pleistocene;yes;179279.9152
1;6;BT-2.5;10.1038/srep24374;from top;30;32.4;stalagmite;unknown;yes;yes;unknown;yes;no;no;yes;no;no;no;no;no;Hai Cheng;https://www.ncdc.noaa.gov/paleo/study/20449;1;Bittoo cave;30.7903;77.7764;3000;limestone;Pleistocene;yes;227021
1;7;BT-4;10.1038/srep24374;from top;30;32.4;stalagmite;unknown;yes;yes;unknown;yes;no;no;yes;no;no;no;no;no;Hai Cheng;https://www.ncdc.noaa.gov/paleo/study/20449;1;Bittoo cave;30.7903;77.7764;3000;limestone;Pleistocene;yes;271150
1;8;BT-6;10.1038/srep24374;from top;30;32.4;stalagmite;unknown;yes;yes;unknown;yes;no;no;yes;no;no;no;no;no;Hai Cheng;https://www.ncdc.noaa.gov/paleo/study/20449;1;Bittoo cave;30.7903;77.7764;3000;limestone;Pleistocene;yes;199872
1;9;BT-8;10.1038/srep24374;from top;30;32.4;stalagmite;unknown;yes;yes;unknown;yes;no;no;yes;no;no;no;no;no;Hai Cheng;https://www.ncdc.noaa.gov/paleo/study/20449;1;Bittoo cave;30.7903;77.7764;3000;limestone;Pleistocene;yes;874
1;10;BT-9;10.1038/srep24374;from top;30;32.4;stalagmite;unknown;yes;yes;unknown;yes;no;no;yes;no;no;no;no;no;Hai Cheng;https://www.ncdc.noaa.gov/paleo/study/20449;1;Bittoo cave;30.7903;77.7764;3000;limestone;Pleistocene;yes;243063
